"PROVRE","EDAD_r","DEPRE","ndef"
2,0,14,17.0890959161057
2,0,15,28.8378493584284
2,0,13,24.565575379402
2,0,1,30.9892219536219
2,0,4,50.2232150562631
2,0,7,51.2672877483172
2,0,12,17.0890959161057
2,0,3,34.1781918322115
2,0,5,19.2358958190441
2,0,9,32.0582050719537
2,0,2,13.8848904318359
2,0,11,16.0210274213491
2,0,8,45.9269452745342
2,0,10,17.0890959161057
2,0,6,13.8848904318359
2,1,10,2.13996717590297
2,1,4,2.14099010476334
2,1,15,1.06998358795148
2,1,9,2.14104578839082
2,1,8,3.20995076385445
2,1,13,2.13996717590297
2,1,7,1.06998358795148
2,1,3,2.13996717590297
2,2,3,1.2905246098438
2,2,9,2.58235015175397
2,2,1,1.2911593981418
2,2,2,1.2905246098438
2,2,5,1.29124037501842
2,2,8,1.2905246098438
2,3,14,2.25744928797713
2,3,12,1.12872464398856
2,3,3,1.12872464398856
2,3,10,1.12872464398856
2,3,8,2.25744928797713
2,3,1,1.12927984548585
2,3,4,4.51705674926972
2,3,13,1.12872464398856
2,3,11,3.38617393196569
2,4,15,1.29054903769998
2,4,12,1.29054903769998
2,4,7,1.29054903769998
2,4,10,1.29054903769998
2,4,4,2.58233186989107
2,4,9,1.2911995160456
2,5,14,1.08677174332617
2,5,8,1.08677174332617
2,5,3,1.08677174332617
2,5,6,1.08677174332617
2,5,7,1.08677174332617
2,5,12,2.17354348665234
2,5,4,2.17458246537445
2,5,13,2.17354348665234
2,5,2,1.08677174332617
2,6,9,1.00335364327157
2,6,5,1.00340438629835
2,6,8,1.0028481754412
2,6,4,1.00332754837402
2,6,11,1.0028481754412
2,6,14,1.0028481754412
2,7,7,1.0028481754412
2,7,2,1.0028481754412
2,7,15,1.0028481754412
2,7,13,1.0028481754412
2,7,8,1.0028481754412
2,8,9,1.33913395633488
2,8,4,1.33909912857137
2,8,3,1.33845932965662
2,9,9,2.58243619921125
2,9,8,2.58113522379603
2,9,15,1.29056761189802
2,9,7,2.58113522379603
2,10,8,1.33851415503446
2,10,12,1.33851415503446
2,10,1,1.33917254861786
2,11,7,1.40559059612837
2,11,5,1.40637018048562
2,11,12,1.40559059612837
2,11,4,1.40626248455864
2,11,1,1.40628198353424
2,12,10,1.0028481754412
2,12,4,1.00332754837402
2,12,11,1.0028481754412
2,12,13,1.0028481754412
2,12,14,2.00569635088241
2,12,8,1.0028481754412
2,13,11,1.25460644027024
2,13,14,1.25460644027024
2,13,7,2.50921288054048
2,13,4,1.25520615654188
2,13,12,1.25460644027024
2,13,6,1.25460644027024
2,13,5,1.25530228410844
2,14,13,1.33854099126524
2,14,9,1.33921565910358
2,14,7,2.67708198253048
2,14,8,2.67708198253048
2,15,9,1.67497067037657
2,15,3,1.67412685643683
2,15,8,1.67412685643683
2,15,4,3.34985421656051
2,15,2,1.67412685643683
2,16,4,3.9399421866505
2,16,9,1.31334821935322
2,16,14,1.31268658297067
2,16,11,1.31268658297067
2,16,10,1.31268658297067
2,16,8,3.93805974891202
2,16,13,1.31268658297067
2,16,7,1.31268658297067
2,16,1,1.31333227238679
2,17,14,1.14669073690344
2,17,7,1.14669073690344
2,17,8,1.14669073690344
2,17,4,4.58895547292333
2,17,3,2.29338147380688
2,17,12,1.14669073690344
2,17,15,2.29338147380688
2,17,9,4.58907482409946
2,17,10,1.14669073690344
2,17,1,1.14725477563286
2,17,6,1.14669073690344
2,17,5,2.29465345465758
2,18,1,1.12186798925899
2,18,7,2.2426328634843
2,18,12,1.12131643174215
2,18,5,2.24387669757386
2,18,10,2.2426328634843
2,18,6,2.2426328634843
2,18,8,3.36394929522645
2,18,9,2.24376322279049
2,18,3,1.12131643174215
2,18,4,1.12185243386057
2,19,7,3.53395351911386
2,19,10,1.17798450637129
2,19,8,9.42387605097028
2,19,11,4.71193802548514
2,19,15,1.17798450637129
2,19,1,4.71425575201022
2,19,9,1.178578248562
2,19,4,1.17854759647949
2,20,6,1.18266095640963
2,20,5,1.18331689703992
2,20,1,3.54972806493436
2,20,8,4.73064382563852
2,20,2,1.18266095640963
2,20,4,8.28258397340224
2,20,3,2.36532191281926
2,20,13,2.36532191281926
2,20,15,1.18266095640963
2,20,7,3.54798286922889
2,20,9,1.18325705568201
2,20,12,2.36532191281926
2,21,7,3.63787771416691
2,21,10,3.63787771416691
2,21,12,1.2126259047223
2,21,15,2.42525180944461
2,21,3,1.2126259047223
2,21,2,1.2126259047223
2,21,4,4.85282221526535
2,21,13,2.42525180944461
2,21,1,6.06611187950114
2,21,5,2.42659692969388
2,22,8,6.44865188387226
2,22,11,2.14955062795742
2,22,9,1.07531703540713
2,22,1,4.30121591467328
2,22,5,3.22611425360664
2,22,15,1.07477531397871
2,22,7,2.14955062795742
2,22,13,1.07477531397871
2,22,4,2.15057813781782
