"PROV","DEPRE","EDAD","N"
6,7,0,606.441982193065
6,7,1,610.113964386129
6,7,2,611.203453608248
6,7,3,645.986405810684
6,7,4,673.102582005623
6,7,5,709.418889409559
6,7,6,700.057352389878
6,7,7,725.962985004686
6,7,8,758.284498594189
6,7,9,796.376269915651
6,7,10,809.692249297095
6,7,11,831.643439550141
6,7,12,840.399704779756
6,7,13,883.858219306467
6,7,14,892.332024367385
6,7,15,898.788256794752
6,7,16,874.859845360825
6,7,17,845.685745079663
6,7,18,798.030679475164
6,7,19,703.890740393627
6,7,20,639.651227741331
6,7,21,594.417249297095
6,7,22,588.80839737582
6,7,23,579.850374882849
6,7,24,567.825641986879
6,7,25,588.646991565136
6,7,26,598.49274601687
6,7,27,632.145857544517
6,7,28,633.03358950328
6,7,29,643.242507029053
6,7,30,654.904076850984
6,7,31,672.174498594189
6,7,32,677.62194470478
6,7,33,669.349896907216
6,7,34,672.5780131209
6,7,35,665.476157450797
6,7,36,666.928809746954
6,7,37,675.079803186504
6,7,38,705.706555763824
6,7,39,712.808411433927
6,7,40,710.911893158388
6,7,41,663.498936269916
6,7,42,648.246087160262
6,7,43,630.491447985005
6,7,44,649.618036551078
6,7,45,679.9623289597
6,7,46,701.873167760075
6,7,47,699.936298031865
6,7,48,682.141307403936
6,7,49,669.713059981256
6,7,50,657.84973289597
6,7,51,640.942474226804
6,7,52,594.901466729147
6,7,53,586.982494142455
6,7,54,580.243801546392
6,7,55,599.309862933458
6,7,56,587.133812089972
6,7,57,581.383730084349
6,7,58,566.51421977507
6,7,59,578.256492502343
6,7,60,564.496647141518
6,7,61,574.090205014058
6,7,62,550.666186738519
6,7,63,554.368432521087
6,7,64,540.497620665417
6,7,65,539.347604264292
6,7,66,512.049846532334
6,7,67,485.084988284911
6,7,68,463.69871836926
6,7,69,453.852963917526
6,7,70,449.020877460169
6,7,71,446.196275773196
6,7,72,428.824975398313
6,7,73,397.149085051546
6,7,74,383.933984301781
6,7,75,368.196917760075
6,7,76,350.240521321462
6,7,77,333.999061621368
6,7,78,317.485229615745
6,7,79,304.371007497657
6,7,80,268.538917525773
6,7,81,239.748156044986
6,7,82,213.217075913777
6,7,83,198.014666119963
6,7,84,171.23138940956
6,7,85,136.024746954077
6,7,86,106.043617619494
6,7,87,91.0429650890347
6,7,88,79.0989350984067
6,7,89,74.5694845360825
6,7,90,68.284745782568
6,7,91,65.5307591377695
6,7,92,54.070946579194
6,7,93,38.6365159325211
6,7,94,25.3508001405811
6,7,95,18.541492502343
6,7,96,12.8721134020619
6,7,97,9.05890112464855
6,7,98,5.03384372071228
6,7,99,2.39082357075914
6,14,0,494.315530837553
6,14,1,511.607484020918
6,14,2,522.798771478376
6,14,3,520.81908524944
6,14,4,531.727560388478
6,14,5,540.050322901967
6,14,6,571.159677928115
6,14,7,573.502979995019
6,14,8,581.664135469411
6,14,9,591.724173653192
6,14,10,604.369924462522
6,14,11,600.006534406906
6,14,12,589.50207686561
6,14,13,596.491581306549
6,14,14,615.278399601561
6,14,15,628.085757449988
6,14,16,629.25740848344
6,14,17,640.893115298415
6,14,18,610.349384909106
6,14,19,547.64585373952
6,14,20,475.003489665477
6,14,21,437.591460114551
6,14,22,428.905081763095
6,14,23,436.62181787997
6,14,24,426.965797293932
6,14,25,434.076507014194
6,14,26,427.491020170997
6,14,27,438.359093550261
6,14,28,453.711762264464
6,14,29,476.619560056446
6,14,30,498.032492736781
6,14,31,507.405701004399
6,14,32,515.203240640823
6,14,33,511.082261143853
6,14,34,501.749454636009
6,14,35,471.326929526023
6,14,36,437.268246036358
6,14,37,416.340134473313
6,14,38,405.754873412468
6,14,39,400.745055200465
6,14,40,399.533002407238
6,14,41,426.521377936416
6,14,42,449.994800365236
6,14,43,448.661542292687
6,14,44,433.632087656678
6,14,45,425.955753299577
6,14,46,424.460888187931
6,14,47,426.319369137545
6,14,48,436.783424919067
6,14,49,455.368234415207
6,14,50,458.07515232008
6,14,51,439.126726985972
6,14,52,431.046375031128
6,14,53,411.451521540633
6,14,54,414.148339005562
6,14,55,395.684734788744
6,14,56,392.331388727484
6,14,57,375.312147422595
6,14,58,378.412982485266
6,14,59,389.008343986055
6,14,60,398.189643894746
6,14,61,395.95744666722
6,14,62,393.270729642235
6,14,63,392.492995766581
6,14,64,385.362085166431
6,14,65,355.373878974018
6,14,66,319.143600896489
6,14,67,290.549255416286
6,14,68,276.954063252262
6,14,69,273.560315431228
6,14,70,271.600830082178
6,14,71,268.469693699676
6,14,72,259.540904789574
6,14,73,252.258487590271
6,14,74,246.107319664647
6,14,75,239.340024902465
6,14,76,229.512296837387
6,14,77,226.158950776127
6,14,78,234.06759525193
6,14,79,225.330714700755
6,14,80,210.685076782601
6,14,81,190.98921889267
6,14,82,195.898032705238
6,14,83,174.50530090479
6,14,84,141.648569768407
6,14,85,104.620356935337
6,14,86,100.014556321076
6,14,87,86.227455798124
6,14,88,77.2178633684735
6,14,89,56.4614592844692
6,14,90,45.3610757865029
6,14,91,37.31102515149
6,14,92,36.5938939154976
6,14,93,33.5637619324313
6,14,94,22.9077977919814
6,14,95,11.787213414128
6,14,96,6.21177056528596
6,14,97,3.13113638250187
6,14,98,2.64631526521126
6,14,99,1.16155059350876
6,21,0,489.510861648207
6,21,1,489.470516238033
6,21,2,482.894214379576
6,21,3,473.453388398723
6,21,4,463.084617983856
6,21,5,469.378501971091
6,21,6,464.254634878919
6,21,7,467.885721794631
6,21,8,458.485241223953
6,21,9,473.372697578374
6,21,10,482.853868969401
6,21,11,488.582917214192
6,21,12,456.024171203304
6,21,13,438.070463675615
6,21,14,431.574852637507
6,21,15,426.612367186033
6,21,16,426.93513046743
6,21,17,427.863074901445
6,21,18,451.263412802703
6,21,19,453.603446592829
6,21,20,435.084903322696
6,21,21,402.122703210062
6,21,22,396.0305462737
6,21,23,393.56947625305
6,21,24,392.722222639384
6,21,25,360.930039421813
6,21,26,350.036778674676
6,21,27,359.437259245354
6,21,28,391.027715412052
6,21,29,416.485669232213
6,21,30,432.623833302046
6,21,31,441.983968462549
6,21,32,455.499680871034
6,21,33,453.684137413178
6,21,34,441.298096489581
6,21,35,422.214717477004
6,21,36,390.099770978036
6,21,37,371.863645579125
6,21,38,351.005068518866
6,21,39,347.25294537263
6,21,40,342.532532382204
6,21,41,342.129078280458
6,21,42,349.270215881359
6,21,43,353.627520180214
6,21,44,359.881058757274
6,21,45,358.832078092735
6,21,46,355.644790688943
6,21,47,358.953114323259
6,21,48,382.595524685564
6,21,49,415.275306926976
6,21,50,429.154128027032
6,21,51,408.013133095551
6,21,52,398.007471372255
6,21,53,398.703429697766
6,21,54,410.484289468744
6,21,55,395.425365121081
6,21,56,380.063850197109
6,21,57,383.795800638258
6,21,58,390.372102496715
6,21,59,383.473037356861
6,21,60,370.138879294162
6,21,61,354.535291909142
6,21,62,365.055357612164
6,21,63,366.265719917402
6,21,64,359.679331706401
6,21,65,321.008256054064
6,21,66,284.293932795194
6,21,67,264.504509104562
6,21,68,268.660086352544
6,21,69,279.210411113197
6,21,70,304.274997184156
6,21,71,302.378762905951
6,21,72,297.688608973156
6,21,73,278.534625492773
6,21,74,269.356044678055
6,21,75,246.9038239159
6,21,76,225.510670170828
6,21,77,221.133193166886
6,21,78,221.304661160128
6,21,79,207.69817157875
6,21,80,197.127674113009
6,21,81,194.616172329641
6,21,82,178.720080720856
6,21,83,167.63517927539
6,21,84,145.747794255679
6,21,85,135.863168762906
6,21,86,118.292742631875
6,21,87,100.167567110944
6,21,88,87.5495400788436
6,21,89,70.3623953444716
6,21,90,53.4072367186033
6,21,91,39.5889337338089
6,21,92,33.2849633940304
6,21,93,28.6452412239534
6,21,94,18.326902571804
6,21,95,11.1050741505538
6,21,96,5.79965271259621
6,21,97,4.30687253613666
6,21,98,1.86597522057443
6,21,99,0.685871972967899
6,28,0,30003.1580406654
6,28,1,30014.2400678601
6,28,2,29819.5590737599
6,28,3,29633.2198237662
6,28,4,29456.8745473881
6,28,5,29285.2038715722
6,28,6,28974.8265135594
6,28,7,28569.4258096371
6,28,8,28470.5741270605
6,28,9,28944.0386270985
6,28,10,29368.6616109184
6,28,11,29833.2604892006
6,28,12,29915.7913680905
6,28,13,30608.7606031449
6,28,14,30933.9677284582
6,28,15,30998.6464689945
6,28,16,30653.0484136429
6,28,17,30649.6230597827
6,28,18,30903.1395437166
6,28,19,30932.8796748791
6,28,20,30482.062808599
6,28,21,29724.4551312891
6,28,22,29033.2993188666
6,28,23,28370.0299166941
6,28,24,27629.9922897729
6,28,25,26600.9353936141
6,28,26,25997.3880434507
6,28,27,26201.9018180437
6,28,28,26442.7243435546
6,28,29,26773.4523333249
6,28,30,26227.7733142582
6,28,31,25950.843529233
6,28,32,25217.9789962778
6,28,33,24508.8904489403
6,28,34,23710.7024029575
6,28,35,22735.4437115438
6,28,36,22114.0442230269
6,28,37,21806.6489377864
6,28,38,21907.4752361178
6,28,39,21814.2250145595
6,28,40,21099.4544096422
6,28,41,20259.0740637581
6,28,42,19319.3584559289
6,28,43,18844.1208315398
6,28,44,18648.0696958955
6,28,45,18613.8161572937
6,28,46,18706.7439926063
6,28,47,18571.7850505153
6,28,48,18305.6149064391
6,28,49,18058.9894285063
6,28,50,17608.0516673841
6,28,51,17342.1636112729
6,28,52,16866.1200212696
6,28,53,16649.2447490695
6,28,54,16291.2348232598
6,28,55,16001.0771275922
6,28,56,15649.9481332135
6,28,57,15396.5626186919
6,28,58,14933.3439565239
6,28,59,14652.4246417087
6,28,60,13865.2178772187
6,28,61,13227.0643784975
6,28,62,12472.5697433722
6,28,63,12013.1894924417
6,28,64,11620.2208081179
6,28,65,11067.5097390677
6,28,66,10472.2033873091
6,28,67,9609.28622793913
6,28,68,8915.04759704251
6,28,69,8553.1287380042
6,28,70,8254.0449731598
6,28,71,7822.6720273213
6,28,72,7257.48864039197
