dpto,x,W,HNVT,HNVV
82133,30,1619,4602,4507
82133,25,1484,3259,3209
82133,35,1443,4804,4676
82133,40,1272,4734,4592
82133,45,1243,4791,4605
82133,50,1118,4466,4273
82133,20,1063,1707,1675
82133,55,1052,4322,4065
82133,60,898,3802,3574
82133,65,632,2664,2470
82133,70,527,2289,2106
82133,15,485,589,583
82133,75,398,1765,1601
82133,80,290,1266,1129
82133,85,121,490,437
82133,90,56,298,223
82133,95,23,107,86
82133,10,15,19,19
82126,30,1862,4258,4178
82126,45,1847,5485,5337
82126,35,1745,4773,4685
82126,40,1656,4853,4764
82126,50,1591,4784,4607
82126,55,1529,4458,4294
82126,25,1465,2805,2783
82126,60,1402,3903,3732
82126,65,1203,3228,3033
82126,70,1113,2934,2763
82126,20,942,1464,1439
82126,75,930,2228,2067
82126,80,718,1717,1510
82126,85,420,1013,901
82126,15,330,392,388
82126,90,167,427,360
82126,95,43,98,81
82126,10,7,8,8
82119,30,4999,11201,11004
82119,35,4396,11979,11716
82119,40,4228,12570,12304
82119,45,4172,13737,13345
82119,50,3832,12515,12124
82119,25,3802,7235,7164
82119,55,3583,11609,11105
82119,60,3262,9911,9510
82119,65,2649,7796,7374
82119,20,2530,3861,3821
82119,70,2287,6327,5910
82119,75,1769,4825,4421
82119,80,1306,3407,3075
82119,15,837,1011,987
82119,85,729,1937,1679
82119,90,236,679,563
82119,95,62,206,165
82119,10,25,35,33
82112,30,1232,3107,3049
82112,35,1135,3424,3327
82112,40,1075,3648,3553
82112,45,1057,3737,3641
82112,25,1007,2045,2019
82112,50,981,3463,3349
82112,55,904,3067,2965
82112,60,846,2715,2578
82112,65,749,2388,2250
82112,20,686,1031,1016
82112,70,614,1881,1773
82112,75,474,1501,1359
82112,80,369,1243,1118
82112,15,257,300,297
82112,85,198,672,587
82112,90,77,294,249
82112,95,14,86,68
82112,10,7,9,9
82105,30,2361,5531,5431
82105,35,2286,6570,6429
82105,45,2125,6915,6727
82105,40,2100,6750,6610
82105,50,1889,6077,5914
82105,25,1885,3795,3742
82105,55,1808,5784,5561
82105,60,1659,5247,5008
82105,65,1384,4226,3998
82105,70,1291,3767,3493
82105,20,1250,1930,1899
82105,75,1018,2795,2589
82105,80,788,2127,1943
82105,15,465,563,557
82105,85,442,1191,1054
82105,90,158,467,398
82105,95,32,89,70
82105,10,24,31,30
82098,30,926,2583,2540
82098,25,855,1763,1728
82098,35,846,2805,2729
82098,45,825,3329,3227
82098,40,753,2948,2857
82098,50,696,2945,2840
82098,20,671,1041,1020
82098,55,561,2330,2201
82098,60,510,2050,1933
82098,65,403,1639,1501
82098,15,336,384,384
82098,70,326,1393,1281
82098,75,250,1123,1018
82098,80,163,745,665
82098,85,102,501,414
82098,90,32,181,136
82098,95,13,58,40
82098,10,5,5,5
82091,30,2060,5296,5159
82091,35,2034,6348,6166
82091,45,1856,6272,5997
82091,25,1790,3791,3727
82091,40,1771,5794,5576
82091,50,1602,5410,5217
82091,55,1450,4768,4573
82091,60,1371,4625,4384
82091,20,1293,2030,2000
82091,65,1142,3537,3330
82091,70,994,3023,2799
82091,75,778,2514,2272
82091,80,610,1842,1630
82091,15,528,625,617
82091,85,341,1044,909
82091,90,107,368,318
82091,95,18,55,45
82091,10,13,16,16
82084,30,35052,76313,74513
82084,35,33148,86202,84458
82084,45,30265,93037,90057
82084,40,30098,86679,84210
82084,50,30057,95761,92698
82084,55,27687,87145,83789
82084,25,27138,50260,49512
82084,60,24126,72382,69199
82084,65,20022,57814,54620
82084,20,19868,30331,29803
82084,70,17019,46235,43093
82084,75,14254,37477,34574
82084,80,11323,28630,25591
82084,15,7032,8285,8160
82084,85,6367,15732,13585
82084,90,1913,5050,4361
82084,95,592,1852,1346
82084,10,196,260,256
82077,30,988,2863,2807
82077,35,883,3017,2947
82077,25,848,1880,1857
82077,40,779,2921,2854
82077,45,707,2732,2649
82077,50,629,2468,2348
82077,20,623,1016,995
82077,55,564,2363,2262
82077,60,445,1821,1708
82077,65,358,1607,1494
82077,15,307,357,353
82077,70,280,1264,1166
82077,75,210,929,830
82077,80,119,545,483
82077,85,74,376,331
82077,90,23,112,99
82077,10,10,11,11
82077,95,9,63,43
82070,30,3220,7391,7290
82070,35,2975,8155,8009
82070,45,2818,8799,8597
82070,40,2691,8154,7986
82070,50,2496,7996,7713
82070,25,2349,4451,4395
82070,55,2267,7178,6893
82070,60,2059,6127,5861
82070,65,1801,5238,5025
82070,70,1642,4734,4463
82070,20,1593,2365,2341
82070,75,1323,3836,3546
82070,80,996,2853,2556
82070,85,563,1658,1472
82070,15,497,569,560
82070,90,186,569,494
82070,95,30,91,73
82070,10,7,8,8
82063,30,16010,37193,36440
82063,35,14957,41661,40710
82063,40,13210,40809,39811
82063,45,13118,43196,41815
82063,50,12352,41131,39676
82063,55,12131,39251,37554
82063,25,11927,23606,23277
82063,60,10505,32709,31331
82063,65,8714,26897,25309
82063,20,8610,13131,12943
82063,70,6971,19898,18291
82063,75,5501,15579,14434
82063,80,4357,12057,11027
82063,15,3329,4036,3980
82063,85,2343,6754,5975
82063,90,837,2457,2072
82063,95,198,608,488
82063,10,62,83,81
82056,30,1919,4240,4183
82056,40,1780,5081,4998
82056,45,1775,5290,5121
82056,35,1767,4542,4477
82056,50,1729,5159,4954
82056,55,1618,4772,4603
82056,60,1577,4413,4227
82056,25,1390,2582,2540
82056,65,1296,3485,3314
82056,70,1228,3089,2926
82056,75,1001,2473,2290
82056,20,852,1238,1227
82056,80,749,1921,1760
82056,85,448,1111,993
82056,15,336,385,380
82056,90,139,398,328
82056,95,37,130,100
82056,10,11,11,11
82049,30,5410,13927,13518
82049,35,4968,16207,15717
82049,45,4844,16979,16445
82049,40,4686,16575,16097
82049,25,4657,10075,9929
82049,50,4195,15252,14645
82049,20,3598,5643,5543
82049,55,3576,13490,12726
82049,60,2636,10286,9762
82049,65,2186,8588,8019
82049,70,1923,8043,7382
82049,15,1513,1791,1765
82049,75,1474,6747,6143
82049,80,936,4423,3941
82049,85,476,2386,2078
82049,90,208,1047,842
82049,95,33,185,129
82049,10,33,39,38
82042,30,5521,12477,12290
82042,40,5465,15894,15564
82042,35,5311,13708,13451
82042,45,5129,15460,15038
82042,50,4910,14749,14339
82042,55,4654,13877,13342
82042,60,4405,12540,11929
82042,25,3939,7679,7602
82042,65,3862,10179,9595
82042,70,3658,9512,8922
82042,75,2920,7615,7081
82042,20,2714,4219,4173
82042,80,1998,5202,4730
82042,15,1030,1271,1216
82042,85,961,2321,2028
82042,90,421,1052,902
82042,95,92,345,282
82042,10,19,28,28
82035,30,637,1818,1788
82035,25,601,1264,1245
82035,35,519,1813,1777
82035,40,489,1934,1865
82035,45,473,2046,1997
82035,20,431,623,616
82035,50,409,1824,1757
82035,55,397,1600,1530
82035,60,347,1479,1370
82035,65,261,1157,1088
82035,70,221,848,792
82035,15,198,231,231
82035,75,161,704,638
82035,80,134,521,453
