"PROVRES","TIPPARTO","SEXO","IMEDAD","ITIEMGEST","IMINSTRUC","IPESONAC","CUENTA"
"66","1","2","6.35 a 39","7.42 y más","1.Hasta Primaria/C.EGB Completa","2.2500 gramos y más","10"
"50","1","1","4.25 a 29","3.24 a 27","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","3"
"50","1","1","2.15 a 19","5.32 a 36","2.Secundaria/Polimodal Incompleta","1.Menos de 2500 gramos","33"
"22","1","1","4.25 a 29","2.22 a 23","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","1"
"46","1","1","2.15 a 19","8.Sin especificar","3.Secundario/Polimodal Completa y más","2.2500 gramos y más","2"
"50","1","1","4.25 a 29","2.22 a 23","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","1"
"14","2","2","3.20 a 24","5.32 a 36","2.Secundaria/Polimodal Incompleta","1.Menos de 2500 gramos","9"
"06","1","2","7.40 a 44","4.28 a 31","3.Secundario/Polimodal Completa y más","3.Sin especificar","1"
"02","2","1","6.35 a 39","5.32 a 36","3.Secundario/Polimodal Completa y más","3.Sin especificar","1"
"42","1","1","5.30 a 34","6.37 a 41","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","3"
"50","1","1","4.25 a 29","7.42 y más","2.Secundaria/Polimodal Incompleta","2.2500 gramos y más","3"
"06","1","2","4.25 a 29","6.37 a 41","4.Sin especificar","1.Menos de 2500 gramos","13"
"82","1","2","3.20 a 24","3.24 a 27","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","7"
"14","1","2","5.30 a 34","5.32 a 36","2.Secundaria/Polimodal Incompleta","3.Sin especificar","1"
"90","1","2","4.25 a 29","6.37 a 41","1.Hasta Primaria/C.EGB Completa","3.Sin especificar","3"
"78","1","1","9.Sin especificar","5.32 a 36","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","2"
"54","1","2","3.20 a 24","8.Sin especificar","4.Sin especificar","3.Sin especificar","4"
"54","1","2","4.25 a 29","6.37 a 41","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","33"
"06","1","2","4.25 a 29","4.28 a 31","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","68"
"02","1","2","5.30 a 34","6.37 a 41","4.Sin especificar","1.Menos de 2500 gramos","1"
"90","1","2","2.15 a 19","8.Sin especificar","4.Sin especificar","2.2500 gramos y más","2"
