Tabla,x,V,M,Ambos
UN - General,1,-1.280873788,-1.270234323,-1.275659611
UN - General,2,-1.199428556,-1.158798693,-1.179267828
UN - General,3,-1.160103732,-1.107544278,-1.133904116
UN - General,4,-1.13556616,-1.076743695,-1.10617813
UN - General,5,-1.118342652,-1.055770314,-1.08704086
UN - General,10,-1.074394852,-1.005969088,-1.040106148
UN - General,15,-1.046640905,-0.97788284,-1.012194554
UN - General,20,-1.006677358,-0.938105869,-0.972346842
UN - Latin America,1,-1.224402484,-1.237530309,-1.230770016
UN - Latin America,2,-1.123047153,-1.10057609,-1.111984111
UN - Latin America,3,-1.076391616,-1.039815039,-1.058286925
UN - Latin America,4,-1.048313122,-1.004633401,-1.026637579
UN - Latin America,5,-1.029262946,-0.981479668,-1.005518142
UN - Latin America,10,-0.983699014,-0.930402637,-0.957173343
UN - Latin America,15,-0.958452561,-0.905443751,-0.932080889
UN - Latin America,20,-0.923151267,-0.873535037,-0.898508013
Princeton - West,1,-1.300888286,-1.282828286,-1.292008463
Princeton - West,2,-1.22155375,-1.176951213,-1.199382019
Princeton - West,3,-1.185967736,-1.13238592,-1.159241314
Princeton - West,4,-1.162235486,-1.105387173,-1.13384849
Princeton - West,5,-1.144383673,-1.08424444,-1.11431929
Princeton - West,10,-1.09683121,-1.032908187,-1.064845032
Princeton - West,15,-1.063113239,-0.995625851,-1.029311969
Princeton - West,20,-1.013042255,-0.944910444,-0.978934145
Princeton - South,1,-1.149542994,-1.128756459,-1.13931531
Princeton - South,2,-1.052921923,-1.000999117,-1.027073085
Princeton - South,3,-1.0116418,-0.94932383,-0.980511693
Princeton - South,4,-0.990040995,-0.923355839,-0.956686162
Princeton - South,5,-0.978031048,-0.908791112,-0.943372745
Princeton - South,10,-0.947843076,-0.874266747,-0.910975966
Princeton - South,15,-0.927242946,-0.852720149,-0.889903109
Princeton - South,20,-0.898069807,-0.82207222,-0.859992899
